epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
104,18861.9,0.69745,0.88412,1.02552,0.62979,0.55709,0.59252,0.46266,0.76807,1.03203,0.92353,0.0045075,0.0015025,0.0045075,0.0015025,0.0045075,0.0015025,0.0045075,0.0015025
105,19044.6,0.69033,0.87755,1.02539,0.63384,0.55577,0.59283,0.46227,0.76788,1.03231,0.9231,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
106,19226.6,0.68254,0.86681,1.02055,0.639,0.55272,0.59181,0.46247,0.76651,1.0328,0.92258,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
107,19406.2,0.69086,0.87417,1.02499,0.64129,0.55094,0.59143,0.46184,0.76527,1.03383,0.92165,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255
108,19588.5,0.69115,0.86545,1.0189,0.65138,0.54438,0.591,0.46225,0.76396,1.03608,0.92055,0.0035175,0.0011725,0.0035175,0.0011725,0.0035175,0.0011725,0.0035175,0.0011725
109,19768.3,0.67678,0.84607,1.01313,0.64677,0.54535,0.5903,0.46195,0.76235,1.03607,0.91943,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
110,19950.4,0.67936,0.85727,1.01902,0.64253,0.5508,0.5909,0.46175,0.76288,1.03616,0.9206,0.0030225,0.0010075,0.0030225,0.0010075,0.0030225,0.0010075,0.0030225,0.0010075
111,20126.1,0.6429,0.7006,0.94818,0.63127,0.55423,0.59092,0.46208,0.76314,1.03832,0.92048,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925
112,20294.3,0.62421,0.6527,0.9419,0.63681,0.55079,0.59092,0.46188,0.76443,1.03945,0.92159,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
113,20464.9,0.62023,0.64129,0.93547,0.63323,0.55433,0.59046,0.46147,0.76547,1.03965,0.92242,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
114,20631.3,0.61834,0.62405,0.9378,0.62693,0.55953,0.59012,0.46119,0.7663,1.04025,0.92387,0.0020325,0.0006775,0.0020325,0.0006775,0.0020325,0.0006775,0.0020325,0.0006775
115,20802.1,0.61781,0.62802,0.93653,0.6333,0.55821,0.59065,0.46077,0.76663,1.04207,0.92434,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
116,20969.7,0.60869,0.61441,0.93462,0.63493,0.55836,0.59021,0.46099,0.76717,1.04469,0.92437,0.0015375,0.0005125,0.0015375,0.0005125,0.0015375,0.0005125,0.0015375,0.0005125
117,21138,0.60623,0.61095,0.92819,0.63418,0.55918,0.59044,0.46123,0.76712,1.0461,0.92418,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
118,21304.2,0.60897,0.60489,0.93251,0.63122,0.561,0.59051,0.46093,0.76758,1.04766,0.92495,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
119,21469.9,0.60559,0.59811,0.93005,0.64079,0.55693,0.59056,0.46092,0.76806,1.04869,0.92571,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265
120,21632.8,0.60533,0.60413,0.92886,0.64628,0.5541,0.59073,0.46087,0.76806,1.04969,0.92578,0.0005475,0.0001825,0.0005475,0.0001825,0.0005475,0.0001825,0.0005475,0.0001825
